Income;Limit;Rating;Cards;Age;Education;Gender;Student;Married;Ethnicity;Balance
36362;5183;376;3;49;15; Male;No;Yes;African American;654
39705;3969;301;2;27;20; Male;No;Yes;African American;211
44205;5441;394;1;32;12; Male;No;Yes;Caucasian;607
16304;5466;413;4;66;10; Male;No;Yes;Asian;957
15333;1499;138;2;47;9;Female;No;Yes;Asian;0
32916;1786;154;2;60;8;Female;No;Yes;Asian;0
57.1;4742;372;7;79;18;Female;No;Yes;Asian;379
76273;4779;367;4;65;14;Female;No;Yes;Caucasian;133
10354;3480;281;2;70;17; Male;No;Yes;Caucasian;333
51872;5294;390;4;81;17;Female;No;No;Caucasian;531
35.51;5198;364;2;35;20;Female;No;No;Asian;631
21238;3089;254;3;59;10;Female;No;No;Caucasian;108
30682;1671;160;2;77;7;Female;No;No;Caucasian;0
14132;2998;251;4;75;17; Male;No;No;Caucasian;133
32164;2937;223;2;79;15;Female;No;Yes;African American;0
12;4160;320;4;28;14;Female;No;Yes;Caucasian;602
113829;9704;694;4;38;13;Female;No;Yes;Asian;1388
11187;5099;380;4;69;16;Female;No;No;African American;889
27847;5619;418;2;78;15;Female;No;Yes;Caucasian;822
49502;6819;505;4;55;14; Male;No;Yes;Caucasian;1084
24889;3954;318;4;75;12; Male;No;Yes;Caucasian;357
58781;7402;538;2;81;12;Female;No;Yes;Asian;1103
22939;4923;355;1;47;18;Female;No;Yes;Asian;663
23989;4523;338;4;31;15; Male;No;No;Caucasian;601
16103;5390;418;4;45;10;Female;No;Yes;Caucasian;945
33017;3180;224;2;28;16; Male;No;Yes;African American;29
30622;3293;251;1;68;16; Male;Yes;No;Caucasian;532
20936;3254;253;1;30;15;Female;No;No;Asian;145
110968;6662;468;3;45;11;Female;No;Yes;Caucasian;391
15354;2101;171;2;65;14; Male;No;No;Asian;0
27369;3449;288;3;40;9;Female;No;Yes;Caucasian;162
53.48;4263;317;1;83;15; Male;No;No;Caucasian;99
23672;4433;344;3;63;11; Male;No;No;Caucasian;503
19225;1433;122;3;38;14;Female;No;No;Caucasian;0
43.54;2906;232;4;69;11; Male;No;No;Caucasian;0
152298;12066;828;4;41;12;Female;No;Yes;Asian;1779
55367;6340;448;1;33;15; Male;No;Yes;Caucasian;815
11741;2271;182;4;59;12;Female;No;No;Asian;0
15.56;4307;352;4;57;8; Male;No;Yes;African American;579
59.53;7518;543;3;52;9;Female;No;No;African American;1176
20191;5767;431;4;42;16; Male;No;Yes;African American;1023
48498;6040;456;3;47;16; Male;No;Yes;Caucasian;812
30733;2832;249;4;51;13; Male;No;No;Caucasian;0
16479;5435;388;2;26;16; Male;No;No;African American;937
38009;3075;245;3;45;15;Female;No;No;African American;0
14084;855;120;5;46;17;Female;No;Yes;African American;0
14312;5382;367;1;59;17; Male;Yes;No;Asian;1380
26067;3388;266;4;74;17;Female;No;Yes;African American;155
36295;2963;241;2;68;14;Female;Yes;No;African American;375
83851;8494;607;5;47;18; Male;No;No;Caucasian;1311
21153;3736;256;1;41;11; Male;No;No;Caucasian;298
17976;2433;190;3;70;16;Female;Yes;No;Caucasian;431
68713;7582;531;2;56;16; Male;Yes;No;Caucasian;1587
146183;9540;682;6;66;15; Male;No;No;Caucasian;1050
15846;4768;365;4;53;12;Female;No;No;Caucasian;745
12031;3182;259;2;58;18;Female;No;Yes;Caucasian;210
16819;1337;115;2;74;15; Male;No;Yes;Asian;0
39.11;3189;263;3;72;12; Male;No;No;Asian;0
107986;6033;449;4;64;14; Male;No;Yes;Caucasian;227
13561;3261;279;5;37;19; Male;No;Yes;Asian;297
34537;3271;250;3;57;17;Female;No;Yes;Asian;47
28575;2959;231;2;60;11;Female;No;No;African American;0
46007;6637;491;4;42;14; Male;No;Yes;Caucasian;1046
69251;6386;474;4;30;12;Female;No;Yes;Asian;768
16482;3326;268;4;41;15; Male;No;No;Caucasian;271
40442;4828;369;5;81;8;Female;No;No;African American;510
35177;2117;186;3;62;16;Female;No;No;Caucasian;0
91362;9113;626;1;47;17; Male;No;Yes;Asian;1341
27039;2161;173;3;40;17;Female;No;No;Caucasian;0
23012;1410;137;3;81;16; Male;No;No;Caucasian;0
27241;1402;128;2;67;15;Female;No;Yes;Asian;0
148.08;8157;599;2;83;13; Male;No;Yes;Caucasian;454
62602;7056;481;1;84;11;Female;No;No;Caucasian;904
11808;1300;117;3;77;14;Female;No;No;African American;0
29564;2529;192;1;30;12;Female;No;Yes;Caucasian;0
27578;2531;195;1;34;15;Female;No;Yes;Caucasian;0
26427;5533;433;5;50;15;Female;Yes;Yes;Asian;1404
57202;3411;259;3;72;11;Female;No;No;Caucasian;0
123299;8376;610;2;89;17; Male;Yes;No;African American;1259
18145;3461;279;3;56;15; Male;No;Yes;African American;255
23793;3821;281;4;56;12;Female;Yes;Yes;African American;868
10726;1568;162;5;46;19; Male;No;Yes;Asian;0
23283;5443;407;4;49;13; Male;No;Yes;African American;912
21455;5829;427;4;80;12;Female;No;Yes;African American;1018
34664;5835;452;3;77;15;Female;No;Yes;African American;835
44473;3500;257;3;81;16;Female;No;No;African American;8
54663;4116;314;2;70;8;Female;No;No;African American;75
36355;3613;278;4;35;9; Male;No;Yes;Asian;187
21374;2073;175;2;74;11;Female;No;Yes;Caucasian;0
107841;10384;728;3;87;7; Male;No;No;African American;1597
39831;6045;459;3;32;12;Female;Yes;Yes;African American;1425
91876;6754;483;2;33;10; Male;No;Yes;Caucasian;605
103893;7416;549;3;84;17; Male;No;No;Asian;669
19636;4896;387;3;64;10;Female;No;No;African American;710
17392;2748;228;3;32;14; Male;No;Yes;Caucasian;68
19529;4673;341;2;51;14; Male;No;No;Asian;642
17055;5110;371;3;55;15;Female;No;Yes;Caucasian;805
23857;1501;150;3;56;16; Male;No;Yes;Caucasian;0
15184;2420;192;2;69;11;Female;No;Yes;Caucasian;0
13444;886;121;5;44;10; Male;No;Yes;Asian;0
63931;5728;435;3;28;14;Female;No;Yes;African American;581
35864;4831;353;3;66;13;Female;No;Yes;Caucasian;534
41419;2120;184;4;24;11;Female;Yes;No;Caucasian;156
92112;4612;344;3;32;17; Male;No;No;Caucasian;0
55056;3155;235;2;31;16; Male;No;Yes;African American;0
19537;1362;143;4;34;9;Female;No;Yes;Asian;0
31811;4284;338;5;75;13;Female;No;Yes;Caucasian;429
56256;5521;406;2;72;16;Female;Yes;Yes;Caucasian;1020
42357;5550;406;2;83;12;Female;No;Yes;Asian;653
53319;3000;235;3;53;13; Male;No;No;Asian;0
12238;4865;381;5;67;11;Female;No;No;Caucasian;836
31353;1705;160;3;81;14; Male;No;Yes;Caucasian;0
63809;7530;515;1;56;12; Male;No;Yes;Caucasian;1086
13676;2330;203;5;80;16;Female;No;No;African American;0
76782;5977;429;4;44;12; Male;No;Yes;Asian;548
25383;4527;367;4;46;11; Male;No;Yes;Caucasian;570
35691;2880;214;2;35;15; Male;No;No;African American;0
29403;2327;178;1;37;14;Female;No;Yes;Caucasian;0
27.47;2820;219;1;32;11;Female;No;Yes;Asian;0
27.33;6179;459;4;36;12;Female;No;Yes;Caucasian;1099
34772;2021;167;3;57;9; Male;No;No;Asian;0
36934;4270;299;1;63;9;Female;No;Yes;Caucasian;283
76348;4697;344;4;60;18; Male;No;No;Asian;108
14887;4745;339;3;58;12; Male;No;Yes;African American;724
121834;10673;750;3;54;16; Male;No;No;African American;1573
30132;2168;206;3;52;17; Male;No;No;Caucasian;0
24.05;2607;221;4;32;18; Male;No;Yes;Caucasian;0
22379;3965;292;2;34;14;Female;No;Yes;Asian;384
28316;4391;316;2;29;10;Female;No;No;Caucasian;453
58026;7499;560;5;67;11;Female;No;No;Caucasian;1237
10635;3584;294;5;69;16; Male;No;Yes;Asian;423
46102;5180;382;3;81;12; Male;No;Yes;African American;516
58929;6420;459;2;66;9;Female;No;Yes;African American;789
80861;4090;335;3;29;15;Female;No;Yes;Asian;0
158889;11589;805;1;62;17;Female;No;Yes;Caucasian;1448
30.42;4442;316;1;30;14;Female;No;No;African American;450
36472;3806;309;2;52;13; Male;No;No;African American;188
23365;2179;167;2;75;15; Male;No;No;Asian;0
83869;7667;554;2;83;11; Male;No;No;African American;930
58351;4411;326;2;85;16;Female;No;Yes;Caucasian;126
55187;5352;385;4;50;17;Female;No;Yes;Caucasian;538
124.29;9560;701;3;52;17;Female;Yes;No;Asian;1687
28508;3933;287;4;56;14; Male;No;Yes;Asian;336
130209;10088;730;7;39;19;Female;No;Yes;Caucasian;1426
30406;2120;181;2;79;14; Male;No;Yes;African American;0
23883;5384;398;2;73;16;Female;No;Yes;African American;802
93039;7398;517;1;67;12; Male;No;Yes;African American;749
50699;3977;304;2;84;17;Female;No;No;African American;69
27349;2000;169;4;51;16;Female;No;Yes;African American;0
10403;4159;310;3;43;7; Male;No;Yes;Asian;571
23949;5343;383;2;40;18; Male;No;Yes;African American;829
73914;7333;529;6;67;15;Female;No;Yes;Caucasian;1048
21038;1448;145;2;58;13;Female;No;Yes;Caucasian;0
68206;6784;499;5;40;16;Female;Yes;No;African American;1411
57337;5310;392;2;45;7;Female;No;No;Caucasian;456
10793;3878;321;8;29;13; Male;No;No;Caucasian;638
23.45;2450;180;2;78;13; Male;No;No;Caucasian;0
10842;4391;358;5;37;10;Female;Yes;Yes;Caucasian;1216
51345;4327;320;3;46;15; Male;No;No;African American;230
151947;9156;642;2;91;11;Female;No;Yes;African American;732
24543;3206;243;2;62;12;Female;No;Yes;Caucasian;95
29567;5309;397;3;25;15; Male;No;No;Caucasian;799
39145;4351;323;2;66;13; Male;No;Yes;Caucasian;308
39422;5245;383;2;44;19; Male;No;No;African American;637
34909;5289;410;2;62;16;Female;No;Yes;Caucasian;681
41025;4229;337;3;79;19;Female;No;Yes;Caucasian;246
15476;2762;215;3;60;18; Male;No;No;Asian;52
12456;5395;392;3;65;14; Male;No;Yes;Caucasian;955
10627;1647;149;2;71;10;Female;Yes;Yes;Asian;195
38954;5222;370;4;76;13;Female;No;No;Caucasian;653
44847;5765;437;3;53;13;Female;Yes;No;Asian;1246
98515;8760;633;5;78;11;Female;No;No;African American;1230
33437;6207;451;4;44;9; Male;Yes;No;Caucasian;1549
27512;4613;344;5;72;17; Male;No;Yes;Asian;573
121709;7818;584;4;50;6; Male;No;Yes;Caucasian;701
15079;5673;411;4;28;15;Female;No;Yes;Asian;1075
59879;6906;527;6;78;15;Female;No;No;Caucasian;1032
66989;5614;430;3;47;14;Female;No;Yes;Caucasian;482
69165;4668;341;2;34;11;Female;No;No;African American;156
69943;7555;547;3;76;9; Male;No;Yes;Asian;1058
33214;5137;387;3;59;9; Male;No;No;African American;661
25124;4776;378;4;29;12; Male;No;Yes;Caucasian;657
15741;4788;360;1;39;14; Male;No;Yes;Asian;689
11603;2278;187;3;71;11; Male;No;Yes;Caucasian;0
69656;8244;579;3;41;14; Male;No;Yes;African American;1329
10503;2923;232;3;25;18;Female;No;Yes;African American;191
42529;4986;369;2;37;11; Male;No;Yes;Asian;489
60579;5149;388;5;38;15; Male;No;Yes;Asian;443
26532;2910;236;6;58;19;Female;No;Yes;Caucasian;52
27952;3557;263;1;35;13;Female;No;Yes;Asian;163
29705;3351;262;5;71;14;Female;No;Yes;Asian;148
15602;906;103;2;36;11; Male;No;Yes;African American;0
20918;1233;128;3;47;18;Female;Yes;Yes;Asian;16
58165;6617;460;1;56;12;Female;No;Yes;Caucasian;856
22561;1787;147;4;66;15;Female;No;No;Caucasian;0
34509;2001;189;5;80;18;Female;No;Yes;African American;0
19588;3211;265;4;59;14;Female;No;No;Asian;199
36364;2220;188;3;50;19; Male;No;No;Caucasian;0
15717;905;93;1;38;16; Male;Yes;Yes;Caucasian;0
22574;1551;134;3;43;13;Female;Yes;Yes;Caucasian;98
10363;2430;191;2;47;18;Female;No;Yes;Asian;0
28474;3202;267;5;66;12; Male;No;Yes;Caucasian;132
72945;8603;621;3;64;8;Female;No;No;Caucasian;1355
85425;5182;402;6;60;12; Male;No;Yes;African American;218
36508;6386;469;4;79;6;Female;No;Yes;Caucasian;1048
58063;4221;304;3;50;8; Male;No;No;African American;118
25936;1774;135;2;71;14;Female;No;No;Asian;0
15629;2493;186;1;60;14; Male;No;Yes;Asian;0
41.4;2561;215;2;36;14; Male;No;Yes;Caucasian;0
33657;6196;450;6;55;9;Female;No;No;Caucasian;1092
67937;5184;383;4;63;12; Male;No;Yes;Asian;345
180379;9310;665;3;67;8;Female;Yes;Yes;Asian;1050
10588;4049;296;1;66;13;Female;No;Yes;Caucasian;465
29725;3536;270;2;52;15;Female;No;No;African American;133
27999;5107;380;1;55;10; Male;No;Yes;Caucasian;651
40885;5013;379;3;46;13;Female;No;Yes;African American;549
88.83;4952;360;4;86;16;Female;No;Yes;Caucasian;15
29638;5833;433;3;29;15;Female;No;Yes;Asian;942
25988;1349;142;4;82;12; Male;No;No;Caucasian;0
39055;5565;410;4;48;18;Female;No;Yes;Caucasian;772
15866;3085;217;1;39;13; Male;No;No;Caucasian;136
44978;4866;347;1;30;10;Female;No;No;Caucasian;436
30413;3690;299;2;25;15;Female;Yes;No;Asian;728
16751;4706;353;6;48;14; Male;Yes;No;Asian;1255
30.55;5869;439;5;81;9;Female;No;No;African American;967
163329;8732;636;3;50;14; Male;No;Yes;Caucasian;529
23106;3476;257;2;50;15;Female;No;No;Caucasian;209
41532;5000;353;2;50;12; Male;No;Yes;Caucasian;531
128.04;6982;518;2;78;11;Female;No;Yes;Caucasian;250
54319;3063;248;3;59;8;Female;Yes;No;Caucasian;269
53401;5319;377;3;35;12;Female;No;No;African American;541
36142;1852;183;3;33;13;Female;No;No;African American;0
63534;8100;581;2;50;17;Female;No;Yes;Caucasian;1298
49927;6396;485;3;75;17;Female;No;Yes;Caucasian;890
14711;2047;167;2;67;6; Male;No;Yes;Caucasian;0
18967;1626;156;2;41;11;Female;No;Yes;Asian;0
18036;1552;142;2;48;15;Female;No;No;Caucasian;0
60449;3098;272;4;69;8; Male;No;Yes;Caucasian;0
16711;5274;387;3;42;16;Female;No;Yes;Asian;863
10852;3907;296;2;30;9; Male;No;No;Caucasian;485
26.37;3235;268;5;78;11; Male;No;Yes;Asian;159
24088;3665;287;4;56;13;Female;No;Yes;Caucasian;309
51532;5096;380;2;31;15; Male;No;Yes;Caucasian;481
140672;11200;817;7;46;9; Male;No;Yes;African American;1677
42915;2532;205;4;42;13; Male;No;Yes;Asian;0
27272;1389;149;5;67;10;Female;No;Yes;Caucasian;0
65896;5140;370;1;49;17;Female;No;Yes;Caucasian;293
55054;4381;321;3;74;17; Male;No;Yes;Asian;188
20791;2672;204;1;70;18;Female;No;No;African American;0
24919;5051;372;3;76;11;Female;No;Yes;African American;711
21786;4632;355;1;50;17; Male;No;Yes;Caucasian;580
31335;3526;289;3;38;7;Female;No;No;Caucasian;172
59855;4964;365;1;46;13;Female;No;Yes;Caucasian;295
44061;4970;352;1;79;11; Male;No;Yes;African American;414
82706;7506;536;2;64;13;Female;No;Yes;Asian;905
24.46;1924;165;2;50;14;Female;No;Yes;Asian;0
45.12;3762;287;3;80;8; Male;No;Yes;Caucasian;70
75406;3874;298;3;41;14;Female;No;Yes;Asian;0
14956;4640;332;2;33;6; Male;No;No;Asian;681
75257;7010;494;3;34;18;Female;No;Yes;Caucasian;885
33694;4891;369;1;52;16; Male;Yes;No;African American;1036
23375;5429;396;3;57;15;Female;No;Yes;Caucasian;844
27825;5227;386;6;63;11; Male;No;Yes;Caucasian;823
92386;7685;534;2;75;18;Female;No;Yes;Asian;843
115.52;9272;656;2;69;14; Male;No;No;African American;1140
14479;3907;296;3;43;16; Male;No;Yes;Caucasian;463
52179;7306;522;2;57;14; Male;No;No;Asian;1142
68462;4712;340;2;71;16; Male;No;Yes;Caucasian;136
18951;1485;129;3;82;13;Female;No;No;Caucasian;0
27.59;2586;229;5;54;16; Male;No;Yes;African American;0
16279;1160;126;3;78;13; Male;Yes;Yes;African American;5
25078;3096;236;2;27;15;Female;No;Yes;Caucasian;81
27229;3484;282;6;51;11; Male;No;No;Caucasian;265
182728;13913;982;4;98;17; Male;No;Yes;Caucasian;1999
31029;2863;223;2;66;17; Male;Yes;Yes;Asian;415
17765;5072;364;1;66;12;Female;No;Yes;Caucasian;732
125.48;10230;721;3;82;16; Male;No;Yes;Caucasian;1361
49166;6662;508;3;68;14;Female;No;No;Asian;984
41192;3673;297;3;54;16;Female;No;Yes;Caucasian;121
94193;7576;527;2;44;16;Female;No;Yes;Caucasian;846
20405;4543;329;2;72;17; Male;Yes;No;Asian;1054
12581;3976;291;2;48;16; Male;No;Yes;Caucasian;474
62328;5228;377;3;83;15; Male;No;No;Caucasian;380
21011;3402;261;2;68;17; Male;No;Yes;African American;182
24.23;4756;351;2;64;15;Female;No;Yes;Caucasian;594
24314;3409;270;2;23;7;Female;No;Yes;Caucasian;194
32856;5884;438;4;68;13; Male;No;No;Caucasian;926
12414;855;119;3;32;12; Male;No;Yes;African American;0
41365;5303;377;1;45;14; Male;No;No;Caucasian;606
149316;10278;707;1;80;16; Male;No;No;African American;1107
27794;3807;301;4;35;8;Female;No;Yes;African American;320
13234;3922;299;2;77;17;Female;No;Yes;Caucasian;426
14595;2955;260;5;37;9; Male;No;Yes;African American;204
10735;3746;280;2;44;17;Female;No;Yes;Caucasian;410
48218;5199;401;7;39;10; Male;No;Yes;Asian;633
30012;1511;137;2;33;17; Male;No;Yes;Caucasian;0
21551;5380;420;5;51;18; Male;No;Yes;Asian;907
160231;10748;754;2;69;17; Male;No;No;Caucasian;1192
13433;1134;112;3;70;14; Male;No;Yes;Caucasian;0
48577;5145;389;3;71;13;Female;No;Yes;Asian;503
30002;1561;155;4;70;13;Female;No;Yes;Caucasian;0
61.62;5140;374;1;71;9; Male;No;Yes;Caucasian;302
104483;7140;507;2;41;14; Male;No;Yes;African American;583
41868;4716;342;2;47;18; Male;No;No;Caucasian;425
12068;3873;292;1;44;18;Female;No;Yes;Asian;413
180682;11966;832;2;58;8;Female;No;Yes;African American;1405
34.48;6090;442;3;36;14; Male;No;No;Caucasian;962
39609;2539;188;1;40;14; Male;No;Yes;Asian;0
30111;4336;339;1;81;18; Male;No;Yes;Caucasian;347
12335;4471;344;3;79;12; Male;No;Yes;African American;611
53566;5891;434;4;82;10;Female;No;No;Caucasian;712
53217;4943;362;2;46;16;Female;No;Yes;Asian;382
26162;5101;382;3;62;19;Female;No;No;African American;710
64173;6127;433;1;80;10; Male;No;Yes;Caucasian;578
128669;9824;685;3;67;16; Male;No;Yes;Asian;1243
113772;6442;489;4;69;15; Male;Yes;Yes;Caucasian;790
61069;7871;564;3;56;14; Male;No;Yes;Caucasian;1264
23793;3615;263;2;70;14; Male;No;No;African American;216
89;5759;440;3;37;6;Female;No;No;Caucasian;345
71682;8028;599;3;57;16; Male;No;Yes;Caucasian;1208
35.61;6135;466;4;40;12; Male;No;No;Caucasian;992
39116;2150;173;4;75;15; Male;No;No;Caucasian;0
19782;3782;293;2;46;16;Female;Yes;No;Caucasian;840
55412;5354;383;2;37;16;Female;Yes;Yes;Caucasian;1003
29.4;4840;368;3;76;18;Female;No;Yes;Caucasian;588
20974;5673;413;5;44;16;Female;No;Yes;Caucasian;1000
87625;7167;515;2;46;10;Female;No;No;African American;767
28144;1567;142;3;51;10; Male;No;Yes;Caucasian;0
19349;4941;366;1;33;19; Male;No;Yes;Caucasian;717
53308;2860;214;1;84;10; Male;No;Yes;Caucasian;0
115123;7760;538;3;83;14;Female;No;No;African American;661
101788;8029;574;2;84;11; Male;No;Yes;Caucasian;849
24824;5495;409;1;33;9; Male;Yes;No;Caucasian;1352
14292;3274;282;9;64;9; Male;No;Yes;Caucasian;382
20088;1870;180;3;76;16; Male;No;No;African American;0
26.4;5640;398;3;58;15;Female;No;No;Asian;905
19253;3683;287;4;57;10; Male;No;No;African American;371
16529;1357;126;3;62;9; Male;No;No;Asian;0
37878;6827;482;2;80;13;Female;No;No;Caucasian;1129
83948;7100;503;2;44;18; Male;No;No;Caucasian;806
135118;10578;747;3;81;15;Female;No;Yes;Asian;1393
73327;6555;472;2;43;15;Female;No;No;Caucasian;721
25974;2308;196;2;24;10; Male;No;No;Asian;0
17316;1335;138;2;65;13; Male;No;No;African American;0
49794;5758;410;4;40;8; Male;No;No;Caucasian;734
12096;4100;307;3;32;13; Male;No;Yes;Caucasian;560
13364;3838;296;5;65;17; Male;No;No;African American;480
57872;4171;321;5;67;12;Female;No;Yes;Caucasian;138
37728;2525;192;1;44;13; Male;No;Yes;Caucasian;0
18701;5524;415;5;64;7;Female;No;No;Asian;966
71408;7114;512;2;87;9; Male;No;No;Asian;872
16304;5466;413;4;66;10; Male;No;Yes;Asian;957
66989;5614;430;3;47;14;Female;No;Yes;Caucasian;482
14711;2047;167;2;67;6; Male;No;Yes;Caucasian;0
33657;6196;450;6;55;9;Female;No;No;Caucasian;1092
30622;3293;251;1;68;16; Male;Yes;No;Caucasian;532
11741;2271;182;4;59;12;Female;No;No;Asian;0
10793;3878;321;8;29;13; Male;No;No;Caucasian;638
89;5759;440;3;37;6;Female;No;No;Caucasian;345
48218;5199;401;7;39;10; Male;No;Yes;Asian;633
18967;1626;156;2;41;11;Female;No;Yes;Asian;0
12581;3976;291;2;48;16; Male;No;Yes;Caucasian;474
69943;7555;547;3;76;9; Male;No;Yes;Asian;1058
58781;7402;538;2;81;12;Female;No;Yes;Asian;1103
62602;7056;481;1;84;11;Female;No;No;Caucasian;904
10588;4049;296;1;66;13;Female;No;Yes;Caucasian;465
29.4;4840;368;3;76;18;Female;No;Yes;Caucasian;588
12031;3182;259;2;58;18;Female;No;Yes;Caucasian;210
12031;3182;259;2;58;18;Female;No;Yes;Caucasian;210
180379;9310;665;3;67;8;Female;Yes;Yes;Asian;1050
29725;3536;270;2;52;15;Female;No;No;African American;133
66989;5614;430;3;47;14;Female;No;Yes;Caucasian;482
34.95;3327;253;3;54;14;Female;No;No;African American;50
39145;4351;323;2;66;13; Male;No;Yes;Caucasian;308
33694;4891;369;1;52;16; Male;Yes;No;African American;1036
40885;5013;379;3;46;13;Female;No;Yes;African American;549
49794;5758;410;4;40;8; Male;No;No;Caucasian;734
27.47;2820;219;1;32;11;Female;No;Yes;Asian;0
18701;5524;415;5;64;7;Female;No;No;Asian;966
50699;3977;304;2;84;17;Female;No;No;African American;69
36364;2220;188;3;50;19; Male;No;No;Caucasian;0
17055;5110;371;3;55;15;Female;No;Yes;Caucasian;805
36295;2963;241;2;68;14;Female;Yes;No;African American;375
29567;5309;397;3;25;15; Male;No;No;Caucasian;799
26532;2910;236;6;58;19;Female;No;Yes;Caucasian;52
51872;5294;390;4;81;17;Female;No;No;Caucasian;531
27272;1389;149;5;67;10;Female;No;Yes;Caucasian;0
21038;1448;145;2;58;13;Female;No;Yes;Caucasian;0
20088;1870;180;3;76;16; Male;No;No;African American;0
160231;10748;754;2;69;17; Male;No;No;Caucasian;1192
55882;4897;357;2;68;16; Male;No;Yes;Caucasian;331
18036;1552;142;2;48;15;Female;No;No;Caucasian;0
121834;10673;750;3;54;16; Male;No;No;African American;1573
59879;6906;527;6;78;15;Female;No;No;Caucasian;1032
22379;3965;292;2;34;14;Female;No;Yes;Asian;384
48498;6040;456;3;47;16; Male;No;Yes;Caucasian;812
146183;9540;682;6;66;15; Male;No;No;Caucasian;1050
10354;3480;281;2;70;17; Male;No;Yes;Caucasian;333
25974;2308;196;2;24;10; Male;No;No;Asian;0
73327;6555;472;2;43;15;Female;No;No;Caucasian;721
80.18;8047;569;4;77;10; Male;No;No;Caucasian;1151
52179;7306;522;2;57;14; Male;No;No;Asian;1142
44205;5441;394;1;32;12; Male;No;Yes;Caucasian;607
16819;1337;115;2;74;15; Male;No;Yes;Asian;0
28941;2733;210;5;43;16; Male;No;Yes;Asian;0
113772;6442;489;4;69;15; Male;Yes;Yes;Caucasian;790
16479;5435;388;2;26;16; Male;No;No;African American;937
77.38;7569;564;3;50;12;Female;No;Yes;Caucasian;997
52179;7306;522;2;57;14; Male;No;No;Asian;1142
34664;5835;452;3;77;15;Female;No;Yes;African American;835
21786;4632;355;1;50;17; Male;No;Yes;Caucasian;580
16819;1337;115;2;74;15; Male;No;Yes;Asian;0
30622;3293;251;1;68;16; Male;Yes;No;Caucasian;532
52179;7306;522;2;57;14; Male;No;No;Asian;1142
19537;1362;143;4;34;9;Female;No;Yes;Asian;0
30622;3293;251;1;68;16; Male;Yes;No;Caucasian;532
13364;3838;296;5;65;17; Male;No;No;African American;480
55412;5354;383;2;37;16;Female;Yes;Yes;Caucasian;1003
69656;8244;579;3;41;14; Male;No;Yes;African American;1329
76273;4779;367;4;65;14;Female;No;Yes;Caucasian;133
124.29;9560;701;3;52;17;Female;Yes;No;Asian;1687
21238;3089;254;3;59;10;Female;No;No;Caucasian;108
